# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
0.202,0.923264790037505,16.600489229653384,16.663390701580408,168.40915013191693,169.05244572623405,0.079928367528114,1.597376545986594e-8,0.079928367528115,89.99998854938026,1.446494731991247,14.733891470578099,0,0,0,85,90
0.204,0.956799647488346,16.932898287641457,16.997069488094215,163.9993496621135,164.6258005350374,0.082850567618845,1.620788430427826e-8,0.082850567618846,89.99998879134577,1.475576756218535,14.348083921059006,0,0,0,85,90
0.206,0.99099050122799,17.256484408777624,17.321891636846352,159.58622015866607,160.19581359382906,0.085830159948161,1.644200314869058e-8,0.085830159948163,89.99998902416833,1.503886873492276,13.961985118835564,0,0,0,85,90
0.208,1.025819698753786,17.5712409961759,17.637850525653363,155.79655185783378,155.92846175054305,0.088865600122198,1.66761219931029e-8,0.0888656001222,89.99998924812971,1.531424506659732,6.412457648973658,0,0,0,85,90
0.209,1.043468470069984,17.72593364299038,17.792508281267775,153.58859261874522,153.7140097235089,0.090400196656847,1.684660867916457e-8,0.090400196656848,89.99998932259427,1.53773451001273,6.208140033223041,0,0.835797789680295,-5.680661696529992e-6,84.999582801477,89.9999999765301
0.2105,1.070228674295738,17.95334961937922,18.019858172872272,149.6324384152529,149.7468608987593,0.092713648586611,1.730320214928017e-8,0.092713648586613,89.99998930685537,1.54677923918302,5.852838878520821,0,2.10484107835447,1.421464742852067e-5,84.99737955444736,89.99999995558068
0.21275,1.110997459254904,18.283343878049198,18.349721328402065,143.69519588217804,143.79418415033734,0.096208275963413,1.844165695991976e-8,0.096208275963415,89.99998901727426,1.559361878145848,5.334611123935178,0,4.040874343489691,-5.65828128368714e-6,84.99047271165455,89.99999974874972
0.216125,1.173505217863342,18.75327760563442,18.819391655541498,134.78275858411013,134.8608379844478,0.101500070841335,2.117688659835739e-8,0.101500070841337,89.99998804585836,1.576096865892303,4.588421332546208,0,7.013016888242982,-8.447341746751363e-5,84.97184127523708,89.99999796658804
0.220609142743076,1.258912954467606,19.33109224453255,19.39674462765874,122.92973748372378,122.983888644582,0.1086104505836,2.673692239154246e-8,0.108610450583603,89.99998589534616,1.594545322021861,3.649179130393592,0,11.073847670018989,3.939712849042932e-5,84.93133319744399,89.99999616345667
0.224964932936851,1.344244866776807,19.841450737505944,19.90654618087361,111.40403175804465,111.43885341938461,0.115587808142383,3.425440665553853e-8,0.115587808142388,89.99998302041571,1.608543901290429,2.785634484218961,0,15.120888772128328,-1.190909982365243e-4,84.87431653470819,89.99999357919971
0.229224345082205,1.429734257637283,20.291944184700878,20.356402429663966,100.12274851530101,100.1422961923071,0.122462064103991,4.363756763768373e-8,0.122462064103998,89.99997958348592,1.618678807982967,1.978564229322418,0,19.155144615872974,-2.73730514310794e-5,84.80134195294973,89.99998897343019
0.231,1.465921116494724,20.465549919019445,20.529717345481572,95.41692266627324,95.43120098032335,0.125339225408241,4.814834536020429e-8,0.125339225408251,89.99997799015455,1.621900366079904,1.650754204992873,0,20.85459593942798,-4.673761771406277e-5,84.76582151053611,89.99998825769659
0.233663482376692,1.520765922489693,20.716001213193483,20.77972954692632,92.64592709188632,92.65911802692953,0.129664876314582,5.55745964068205e-8,0.129664876314593,89.99997544292708,1.626177658919469,1.563440697097806,0,23.418258398588453,3.389254300860932e-5,84.70686490563537,89.9999882567193
0.237658705941731,1.604259315667333,21.077835988300787,21.140938001125768,88.48734073052405,88.49935565248738,0.136173997670227,6.819512089703774e-8,0.136173997670244,89.99997130661744,1.632203914263083,1.458245982538681,0,27.28803712028173,1.469429008050958e-4,84.60558157734411,89.99999330645977
0.241776237063671,1.691785955305281,21.433357321867305,21.4958593228907,84.19888464276126,84.21018048115045,0.1429067666236,8.303878642068713e-8,0.142906766623624,89.99996670716082,1.6380360016386,1.37924674475364,0,31.295643071761205,1.638460425257769e-4,84.48497606892636,90.00000169050094
0.245879889404291,1.78043795426281,21.770106430715604,21.832061017816205,79.92235501574216,79.93336458157782,0.149640145515986,9.965171189270508e-8,0.14964014551602,89.99996184431328,1.64357971542762,1.326628082438532,0,35.296686700239526,1.612685294144727e-4,84.34834010339652,90.0000078042666
0.248,1.826770952045086,21.937207632063487,21.998900414030167,77.71195447831971,77.72296816681536,0.15312768308197,1.089382651627484e-7,0.153127683082008,89.99995923857337,1.646371991426055,1.308400481259261,0,37.36215668349606,1.306194110883521e-4,84.27131723887521,90.00001028752335
0.251180165893563,1.896926701292253,22.183232554259057,22.244580671968087,77.01224988627659,77.02811636480517,0.158370448443552,1.237570352532986e-7,0.158370448443601,89.99995522677446,1.650927834690942,1.563354778563212,0,40.45229038641637,6.042793798948919e-5,84.1475825266191,90.0000116957553
0.255305862524461,1.989100835058069,22.49908435752065,22.560101959596462,76.10167957385235,76.12627313502662,0.165196011108606,1.445639639180813e-7,0.16519601110867,89.99994986013921,1.658132534074878,1.934897275665998,0,44.435334627965744,-8.265264201483407e-5,83.9724599703055,90.00000738525122
0.259468278423723,2.083407979736726,22.81393386096559,22.874757953417998,75.17985137419625,75.21636874957062,0.172115766057449,1.673794279814956e-7,0.17211576605753,89.99994428090453,1.667025259241022,2.343517703186115,0,48.41181664028108,-2.785262902365294e-4,83.779208698223,89.99999901125099
0.263681777211261,2.180199048707624,23.128731751670394,23.189509362141163,74.24299361953344,74.29541121927308,0.179161875950676,1.923704643070411e-7,0.179161875950779,89.99993848012784,1.677829555141535,2.790345256559824,0,52.38106259093017,-2.835013181171147e-4,83.56684102294018,89.99998623895232
0.26796288282448,2.279893032358392,23.444528588130233,23.50541946063189,73.28672941277247,73.35995620432634,0.186371874126936,2.197671907932212e-7,0.186371874127065,89.9999324375925,1.690805518265389,3.276959914272307,0,56.342395527955375,-2.953003082181569e-4,83.33408435267805,89.99997477179737
0.272330825692952,2.382993395390056,23.762500783266894,23.823680934716858,72.30592094054353,72.40599298807423,0.193790132288705,2.49866186380757e-7,0.193790132288866,89.99992612483541,1.706261938985826,3.805472050734917,0,60.294168504396744,-2.154791464659907e-4,83.07931732415027,89.99996383370112
0.276809804984758,2.490147040483107,24.084093993011603,24.14576063623525,71.2941129121679,71.42845791210478,0.201472507080392,2.830405911407082e-7,0.201472507080591,89.99991950747257,1.724579148125726,4.378819905907988,0,64.23529050531155,-2.559375655048165e-4,82.80038949524004,89.9999556256489
0.28142867305521,2.602145056762717,24.41096879561769,24.47334701395578,70.24353208584773,70.42131404802542,0.209487004635957,3.197705537723476e-7,0.209487004636201,89.99991254109928,1.746229230335395,5.000767176654176,0,68.16228742040688,-2.579988406532619e-4,82.49456853226792,89.99994362053197
0.286226442992185,2.720067512135314,24.745346447956962,24.80869924561315,69.14373195897089,69.37636569517855,0.217925131879053,3.607299242106417e-7,0.217925131879352,89.99990515870282,1.771831659574372,5.676658159263767,0,72.07227557898351,4.10772259412976e-5,82.15808842401051,89.99993972118551
0.291255780783007,2.845389795321286,25.09017335957039,25.15481685366762,67.98061508586667,68.28252372884741,0.226911145092014,4.067889295882212e-7,0.226911145092378,89.9998972845128,1.802224106004787,6.413970636652966,0,75.96108681648984,2.516854222670971e-4,81.78573835266911,89.99994255759742
